arbetskraftstillhorighet,kon,alder,ar,antal_tusental
arbetslösa,män,totalt 15-74 år,2001,147.6
arbetslösa,män,totalt 15-74 år,2002,153.6
arbetslösa,män,totalt 15-74 år,2003,170.2
arbetslösa,män,totalt 15-74 år,2004,186.6
arbetslösa,män,totalt 15-74 år,2005,195.0
arbetslösa,män,totalt 15-74 år,2006,173.4
arbetslösa,män,totalt 15-74 år,2007,150.1
arbetslösa,män,totalt 15-74 år,2008,152.8
arbetslösa,män,totalt 15-74 år,2009,223.3
arbetslösa,män,totalt 15-74 år,2010,227.5
arbetslösa,män,totalt 15-74 år,2011,207.1
arbetslösa,män,totalt 15-74 år,2012,218.4
arbetslösa,män,totalt 15-74 år,2013,220.5
arbetslösa,män,totalt 15-74 år,2014,223.0
arbetslösa,män,totalt 15-74 år,2015,206.4
arbetslösa,män,totalt 15-74 år,2016,203.2
arbetslösa,män,totalt 15-74 år,2017,196.5
arbetslösa,män,totalt 15-74 år,2018,184.7
arbetslösa,män,totalt 15-74 år,2019,193.2
arbetslösa,män,totalt 15-74 år,2020,245.5
arbetslösa,män,totalt 15-74 år,2021,252.1
arbetslösa,män,totalt 15-74 år,2022,209.9
arbetslösa,män,totalt 15-74 år,2023,224.6
arbetslösa,män,totalt 15-74 år,2024,247.2
arbetslösa,män,totalt 15-74 år,2025,268.5
arbetslösa,kvinnor,totalt 15-74 år,2001,126.9
arbetslösa,kvinnor,totalt 15-74 år,2002,127.6
arbetslösa,kvinnor,totalt 15-74 år,2003,140.4
arbetslösa,kvinnor,totalt 15-74 år,2004,162.9
arbetslösa,kvinnor,totalt 15-74 år,2005,176.0
arbetslösa,kvinnor,totalt 15-74 år,2006,166.6
arbetslösa,kvinnor,totalt 15-74 år,2007,150.9
arbetslösa,kvinnor,totalt 15-74 år,2008,155.1
arbetslösa,kvinnor,totalt 15-74 år,2009,188.6
arbetslösa,kvinnor,totalt 15-74 år,2010,200.5
arbetslösa,kvinnor,totalt 15-74 år,2011,186.3
arbetslösa,kvinnor,totalt 15-74 år,2012,187.5
arbetslösa,kvinnor,totalt 15-74 år,2013,193.4
arbetslösa,kvinnor,totalt 15-74 år,2014,191.3
arbetslösa,kvinnor,totalt 15-74 år,2015,183.4
arbetslösa,kvinnor,totalt 15-74 år,2016,167.3
arbetslösa,kvinnor,totalt 15-74 år,2017,166.3
arbetslösa,kvinnor,totalt 15-74 år,2018,164.4
arbetslösa,kvinnor,totalt 15-74 år,2019,184.3
arbetslösa,kvinnor,totalt 15-74 år,2020,220.6
arbetslösa,kvinnor,totalt 15-74 år,2021,240.7
arbetslösa,kvinnor,totalt 15-74 år,2022,211.3
arbetslösa,kvinnor,totalt 15-74 år,2023,214.9
arbetslösa,kvinnor,totalt 15-74 år,2024,233.2
arbetslösa,kvinnor,totalt 15-74 år,2025,241.9
arbetslösa,totalt,totalt 15-74 år,2001,274.5
arbetslösa,totalt,totalt 15-74 år,2002,281.3
arbetslösa,totalt,totalt 15-74 år,2003,310.7
arbetslösa,totalt,totalt 15-74 år,2004,349.6
arbetslösa,totalt,totalt 15-74 år,2005,371.1
