anknytningsgrad,typ_av_data,kon,alder,ar,antal_tusental
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2001,2256.2
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2002,2259.7
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2003,2251.5
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2004,2245.4
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2005,2265.4
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2006,2316.0
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2007,2375.5
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2008,2406.4
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2009,2343.1
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2010,2378.2
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2011,2423.2
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2012,2427.2
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2013,2450.6
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2014,2486.3
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2015,2513.6
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2016,2544.4
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2017,2611.3
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2018,2649.8
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2019,2676.5
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2020,2649.5
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2021,2671.0
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2022,2751.7
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2023,2772.4
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2024,2744.1
sysselsatta totalt,icke säsongrensad,män,totalt 15-74 år,2025,2752.6
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2001,2057.0
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2002,2067.3
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2003,2064.1
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2004,2052.0
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2005,2046.5
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2006,2079.8
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2007,2132.5
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2008,2154.1
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2009,2121.2
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2010,2111.8
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2011,2170.0
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2012,2199.2
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2013,2221.3
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2014,2254.0
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2015,2289.5
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2016,2329.9
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2017,2373.5
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2018,2408.8
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2019,2415.7
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2020,2361.1
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2021,2372.9
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2022,2447.3
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2023,2497.6
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2024,2497.3
sysselsatta totalt,icke säsongrensad,kvinnor,totalt 15-74 år,2025,2510.3
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2001,4313.3
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2002,4327.0
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2003,4315.7
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2004,4297.4
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2005,4312.0
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2006,4395.9
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2007,4508.0
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2008,4560.5
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2009,4464.3
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2010,4489.9
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2011,4593.2
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2012,4626.4
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2013,4671.9
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2014,4740.3
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2015,4803.1
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2016,4874.4
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2017,4984.8
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2018,5058.6
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2019,5092.2
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2020,5010.6
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2021,5043.9
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2022,5199.0
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2023,5270.1
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2024,5241.3
sysselsatta totalt,icke säsongrensad,totalt,totalt 15-74 år,2025,5263.0
